ID,min_year,max_year
1,1970,1988
4,1980,2002
5,1971,1996
6,1970,1993
7,1970,1993
8,1970,1993
9,1970,1993
10,1970,1994
11,1970,1993
12,1970,1994
13,1970,1993
14,1970,1994
15,1970,1995
16,1970,1994
17,1970,1992
19,1970,1991
20,1970,1988
21,1970,1988
22,1970,1988
23,1974,1991
24,1974,1988
25,1977,1991
27,1971,1992
32,1978,1993
38,1978,2000
40,1987,2011
41,1987,2011
42,1987,2011
44,1970,1985
45,1970,1985
46,1970,2005
47,1970,2001
48,1970,1995
50,1971,2013
54,1970,1992
55,1972,1991
57,1972,1991
60,1972,1991
63,1982,1997
67,1980,2001
68,1971,1995
69,1984,2000
70,1975,2001
71,1975,2001
72,1984,2001
75,1970,1993
76,1970,1992
86,1984,2000
87,1972,1997
88,1973,1997
90,1975,2003
107,1977,2001
108,1977,2001
133,1971,2003
134,1974,1993
135,1974,2003
140,1978,2004
142,1996,2013
143,1972,1995
144,1996,2012
159,1970,2007
160,1970,2007
161,1970,2007
162,1970,2007
163,1970,2007
165,1978,2010
166,1970,2010
167,1993,2007
168,1993,2010
169,1993,2010
170,1970,2009
175,1987,2017
188,1988,2002
189,1970,1995
208,1970,1995
209,1970,1995
210,1983,2001
214,1970,1996
215,1973,2001
219,1971,2008
222,1984,2006
223,1983,2001
224,1970,2000
225,1971,2008
226,1970,2008
227,1970,2010
228,1981,2005
229,1971,2008
231,1970,2008
236,1977,2019
238,1970,1989
242,1970,2004
243,1995,2010
245,1970,2002
249,1990,2005
252,1989,2004
253,1970,2001
254,1971,2003
256,1987,2004
257,1985,2005
258,1972,2005
267,1970,2013
268,1991,2010
269,1991,2010
270,1978,2009
271,1991,2010
272,1991,2010
273,1978,2009
274,1977,2013
275,1990,2013
276,1989,2012
296,1987,2008
348,1970,2010
349,1970,2010
353,1989,2010
354,1972,2002
355,1972,2002
357,1991,2012
360,1987,2012
362,1987,2012
363,1990,2010
366,1989,2012
368,1987,2012
375,1989,2012
380,1997,2012
383,1987,2012
387,1987,2012
394,1976,2008
400,1983,1997
401,1983,1997
404,1983,1997
405,1983,1997
437,1996,2010
438,1996,2010
439,1996,2010
441,1996,2010
443,1995,2009
444,1995,2009
445,1995,2009
448,1995,2014
453,1981,2009
454,1988,2009
